爱不爱	aba
不支持	bvi
不着急	bvj
不知名	bvm
不值钱	bvq
班主任	bvr
不折腾	bvt
不只是	bvu
标志着	bvv
标志性	bvx
不稳定	bwd
不晓得	bxd
不相符	bxf
不习惯	bxg
不喜欢	bxh
别瞎扯	bxi
步行街	bxj
必修课	bxk
不行了	bxl
不行吗	bxm
不像你	bxn
必需品	bxp
保修期	bxq
不希望	bxw
不需要	bxy
不一般	byb
不一定	byd
八月份	byf
不应该	byg
不要紧	byj
不用了	byl
比翼鸟	byn
变压器	byq
不要说	byu
不一致	byv
本以为	byw
布依族	byz
不在乎	bzh
不赞成	bzi
不在家	bzj
不早了	bzl
不怎么	bzm
不足取	bzq
不自然	bzr
不早说	bzu
不作为	bzw
不在线	bzx
不自在	bzz
从不曾	cbc
猜不到	cbd
才不会	cbh
错不了	cbl
擦边球	cbq
才不是	cbu
藏不住	cbv
错别字	cbz
噌噌噌	ccc
擦擦汗	cch
残次品	ccp
猜到了	cdl
踩过界	cgj
错过了	cgl
催化剂	chj
才可能	ckn
才开始	cku
从来不	clb
擦了擦	clc
催泪弹	cld
策略性	clx
藏猫猫	cmm
催眠曲	cmq
聪明人	cmr
从没有	cmy
才能够	cng
擦屁股	cpg
藏起来	cql
凑热闹	crn
醋坛子	ctz
财政局	cvj
村委会	cwh
错误率	cwl
磁悬浮	cxf
才需要	cxy
搓衣板	cyb
猜一猜	cyc
参与度	cyd
曾用名	cym
存在感	czg
操作台	czt
对不对	dbd
大部分	dbf
打不过	dbg
都不会	dbh
等不及	dbj
打不开	dbk
大不了	dbl
道不明	dbm
都不能	dbn
对不起	dbq
倒不如	dbr
倒不是	dbu
对不住	dbv
代表性	dbx
大本营	dby
带不走	dbz
电灯泡	ddp
对得起	ddq
大多数	ddu
第二遍	deb
第二次	dec
第二个	deg
第二名	dem
第二年	den
大而全	deq
电饭煲	dfb
大幅度	dfd
电饭锅	dfg
东方红	dfh
单方面	dfm
豆腐脑	dfn
豆腐乳	dfr
豆腐渣	dfv
大范围	dfw
地方性	dfx
丹凤眼	dfy
大锅饭	dgf
顶呱呱	dgg
胆固醇	dgi
大规模	dgm
打过去	dgq
读后感	dhg
打哈哈	dhh
打火机	dhj
导火索	dhs
导火线	dhx
倒春寒	dih
打交道	djd
都江堰	djy
得了吧	dlb
大老粗	dlc
多伦多	dld
第六感	dlg
度量衡	dlh
邓丽君	dlj
带来了	dll
对立面	dlm
多了去	dlq
代理人	dlr
大冷天	dlt
大理石	dlu
顶梁柱	dlv
独立性	dlx
大老远	dly
掉链子	dlz
独木桥	dmq
多年后	dnh
大屏幕	dpm
肚皮舞	dpw
地平线	dpx
大气层	dqc
电气化	dqh
打起来	dql
道琼斯	dqs
当权者	dqv
大气压	dqy
兜圈子	dqz
单人床	dri
第三个	dsg
第三年	dsn
呆头鹅	dte
洞庭湖	dth
大提琴	dtq
断头台	dtt
大体上	dtu
打头阵	dtv
独特性	dtx
等同于	dty
电视剧	duj
都知道	dvd
对着干	dvg
等着瞧	dvq
端午节	dwj
吊胃口	dwk
都忘了	dwl
大无畏	dww
动物园	dwy
大小便	dxb
单行道	dxd
店小二	dxe
东西方	dxf
胆小鬼	dxg
都喜欢	dxh
大学城	dxi
大小姐	dxj
掉下来	dxl
大熊猫	dxm
单相思	dxs
低血糖	dxt
大学生	dxu
定心丸	dxw
大小写	dxx
大西洋	dxy
东乡族	dxz
第一遍	dyb
第一次	dyc
独一份	dyf
第一个	dyg
单引号	dyh
打圆场	dyi
等于零	dyl
第一名	dym
第一年	dyn
代言人	dyr
打砸抢	dzq
都在玩	dzw
饿不饿	ebe
耳边风	ebf
而不会	ebh
饿扁了	ebl
而不能	ebn
而不去	ebq
饿不死	ebs
而不是	ebu
二百五	ebw
而不用	eby
二次元	ecy
二等奖	edj
饿肚子	edz
阿房宫	efg
恩格尔	ege
二锅头	egt
恶狠狠	ehh
二合一	ehy
二传手	eiu
二季度	ejd
二进制	ejv
俄罗斯	els
二郎腿	elt
鹅卵石	elu
二流子	elz
峨眉山	emu
二年级	enj
耳旁风	epf
饿死了	esl
二三十	esu
儿童节	etj
二十八	eub
二十多	eud
二十二	eue
二十九	euj
二十六	eul
二十年	eun
二十七	euq
二十四	eus
二十五	euw
二十一	euy
二傻子	euz
二指禅	evi
二维码	ewm
二选一	exy
二月份	eyf
恶作剧	ezj
烦不烦	fbf
发不出	fbi
分辨率	fbl
分不清	fbq
分别是	fbu
犯不着	fbv
放不下	fbx
翻白眼	fby
发错了	fcl
肥嘟嘟	fdd
梵蒂冈	fdg
房地产	fdi
防盗门	fdm
反对派	fdp
反倒是	fdu
放得下	fdx
富二代	fed
凡尔赛	fes
防火墙	fhq
非常棒	fib
非常多	fid
肥肠粉	fif
非常高	fig
非常好	fih
非常差	fii
放长假	fij
非常快	fik
非常冷	fil
非常慢	fim
非常难	fin
非常强	fiq
非常热	fir
方程式	fiu
房产证	fiv
放长线	fix
防空洞	fkd
放空炮	fkp
方块字	fkz
氟利昂	fla
菲律宾	flb
福利费	flf
风凉话	flh
分理处	fli
法拉利	fll
飞利浦	flp
费力气	flq
发牢骚	fls
法令纹	flw
法兰西	flx
福利院	fly
负离子	flz
发霉了	fml
敷面膜	fmm
非卖品	fmp
父母亲	fmq
飞毛腿	fmt
分泌物	fmw
驸马爷	fmy
妇女节	fnj
服你了	fnl
废品率	fpl
发脾气	fpq
夫妻店	fqd
凤求凰	fqh
番茄酱	fqj
放弃了	fql
肺气肿	fqv
副热带	frd
缝纫机	frj
烦死了	fsl
烦死人	fsr
风嗖嗖	fss
发散性	fsx
反贪局	ftj
繁体字	ftz
放射性	fux
反政府	fvf
法制化	fvh
非主流	fvl
辅助码	fvm
发展中	fvv
辅助性	fvx
分之一	fvy
俯卧撑	fwi
服务器	fwq
风向标	fxb
发祥地	fxd
方向感	fxg
抚恤金	fxj
发现了	fxl
方向盘	fxp
法西斯	fxs
烦心事	fxu
方向性	fxx
反义词	fyc
发源地	fyd
发一个	fyg
复印件	fyj
反映了	fyl
发言权	fyq
发言人	fyr
防御性	fyx
负罪感	fzg
复杂性	fzx
副作用	fzy
公安局	gaj
港澳台	gat
干巴巴	gbb
怪不得	gbd
够不够	gbg
搞不好	gbh
高不成	gbi
赶不及	gbj
管不了	gbl
更不能	gbn
过不去	gbq
搞半天	gbt
管不着	gbv
鬼把戏	gbx
个把月	gby
过把瘾	gby
光膀子	gbz
过得去	gdq
鬼点子	gdz
规范化	gfh
高峰期	gfq
规范性	gfx
共产党	gid
歌唱家	gij
观察力	gil
滚出去	giq
工程师	giu
过程中	giv
广场舞	giw
关节炎	gjy
高科技	gkj
公开赛	gks
公开信	gkx
孤零零	gll
过来人	glr
过两天	glt
国民党	gmd
哥们儿	gme
鬼门关	gmg
根目录	gml
冠名权	gmq
擀面杖	gmv
高难度	gnd
姑奶奶	gnn
更年期	gnq
国内外	gnw
功能性	gnx
狗皮膏	gpg
跟屁虫	gpi
公平性	gpx
过去的	gqd
搞清楚	gqi
国庆节	gqj
过去了	gql
鬼敲门	gqm
共青团	gqt
过去时	gqu
高清晰	gqx
改天吧	gtb
感叹词	gtc
共同点	gtd
刮台风	gtf
感叹号	gth
共同处	gti
改天聊	gtl
管他呢	gtn
古铜色	gts
狗腿子	gtz
高山族	guz
公文包	gwb
购物车	gwi
个位数	gwu
感兴趣	gxq
高血压	gxy
过一段	gyd
高压锅	gyg
冠亚军	gyj
工艺品	gyp
公元前	gyq
过一阵	gyv
归因于	gyy
刽子手	gzu
海岸线	hax
汉堡包	hbb
还不错	hbc
恨不得	hbd
好办法	hbf
还不够	hbg
会不会	hbh
环保局	hbj
还不快	hbk
花不了	hbl
还不能	hbn
回不去	hbq
好半天	hbt
还不是	hbu
还不止	hbv
花不完	hbw
还不行	hbx
后半夜	hby
好多次	hdc
哈尔滨	heb
恢复了	hfl
花骨朵	hgd
回个话	hgh
花光了	hgl
昏过去	hgq
回过头	hgt
合格证	hgv
回归线	hgx
何海峰	hhf
哈哈哈	hhh
黑胡椒	hhj
合伙人	hhr
好好说	hhu
后悔药	hhy
好孩子	hhz
好吃的	hid
好处费	hif
护城河	hih
昏沉沉	hii
回车键	hij
候车室	hiu
火车站	hiv
含金量	hjl
好几年	hjn
好几天	hjt
花架子	hjz
户口本	hkb
黑科技	hkj
很可能	hkn
火龙果	hlg
红楼梦	hlm
黄脸婆	hlp
坏毛病	hmb
花名册	hmc
黑名单	hmd
很麻烦	hmf
哈密瓜	hmg
灰蒙蒙	hmm
回马枪	hmq
红霉素	hms
很明显	hmx
鸿门宴	hmy
海南岛	hnd
回娘家	hnj
活腻了	hnl
混凝土	hnt
海内外	hnw
哈尼族	hnz
和平鸽	hpg
黄浦江	hpj
很漂亮	hpl
海平面	hpm
红扑扑	hpp
好朋友	hpy
何其多	hqd
很奇怪	hqg
很清楚	hqi
回去了	hql
黑漆漆	hqq
核潜艇	hqt
换气扇	hqu
好奇心	hqx
回头草	htc
黑天鹅	hte
猴头菇	htg
皇太后	hth
糊涂虫	hti
回头见	htj
回头客	htk
回头率	htl
核桃仁	htr
红彤彤	htt
火头上	htu
横条纹	htw
皇太子	htz
好望角	hwj
哈瓦那	hwn
画外音	hwy
还行吧	hxb
候选窗	hxi
很一般	hyb
会议费	hyf
缓一缓	hyh
回忆录	hyl
黑眼圈	hyq
后遗症	hyv
洪泽湖	hzh
吃不饱	ibb
差不多	ibd
吃白饭	ibf
吃不惯	ibg
吃不吃	ibi
吃不开	ibk
吃饱了	ibl
出不去	ibq
出版社	ibu
撑不住	ibv
吃不下	ibx
吃错药	icy
沉甸甸	idd
充电器	idq
出发点	ifd
吃饭了	ifl
车管所	igs
茶话会	ihh
传出去	iiq
成就感	ijg
长镜头	ijt
触控板	ikb
长宽高	ikg
喘口气	ikq
创可贴	ikt
差旅费	ilf
查了查	ili
赤裸裸	ill
处理品	ilp
处理器	ilq
车轮战	ilv
崇明岛	imd
重命名	imm
触摸屏	imp
触摸式	imu
充满着	imv
沉迷于	imy
吹牛逼	inb
刹那间	inj
吃腻了	inl
处女膜	inm
吹牛皮	inp
成年人	inr
出去了	iql
出气筒	iqt
重庆市	iqu
出去玩	iqw
床头柜	itg
出头鸟	itn
赤条条	itt
长筒靴	itx
差太远	ity
成正比	ivb
出主意	ivy
吃完饭	iwf
储物柜	iwg
常委会	iwh
吃完了	iwl
出问题	iwt
颤巍巍	iww
储物箱	iwx
插线板	ixb
吃闲饭	ixf
出现了	ixl
吃下去	ixq
储蓄所	ixs
畅销书	ixu
初学者	ixv
持续性	ixx
趁现在	ixz
超音速	iys
常用字	iyz
紧挨着	jav
加班费	jbf
基本功	jbg
几百年	jbn
记不住	jbv
急匆匆	jcc
记错了	jcl
仅次于	jcy
娇滴滴	jdd
机顶盒	jdh
基督教	jdj
几点了	jdl
绝对是	jdu
就等于	jdy
今儿个	jeg
解放了	jfl
警匪片	jfp
解放前	jfq
简繁体	jft
紧肤水	jfu
几分钟	jfv
见分晓	jfx
九宫格	jgg
加工厂	jgi
金刚经	jgj
举个例	jgl
见个面	jgm
结果呢	jgn
截个屏	jgp
几个人	jgr
见光死	jgs
截个图	jgt
甲骨文	jgw
几个月	jgy
几个字	jgz
就好比	jhb
脚后跟	jhg
交汇处	jhi
交换机	jhj
激活码	jhm
监护人	jhr
几乎是	jhu
就好像	jhx
叫花子	jhz
警察局	jij
经济舱	jjc
肩胛骨	jjg
竞技场	jji
借记卡	jjk
解决了	jjl
解解闷	jjm
近几年	jjn
节假日	jjr
近几天	jjt
旧金山	jju
降降温	jjw
积极性	jjx
教科书	jku
俱乐部	jlb
加拿大	jnd
纪念品	jnp
吉尼斯	jns
几内亚	jnya
柬埔寨	jpv
假如说	jru
兼容性	jrx
金融业	jry
计算机	jsj
急死了	jsl
计算器	jsq
江苏省	jsu
晶体管	jtg
警惕性	jtx
记事本	jub
寄生虫	jui
几十年	jun
就知道	jvd
鸡爪疯	jvf
九寨沟	jvg
镜中花	jvh
假正经	jvj
急诊科	jvk
就这么	jvm
截止日	jvr
脚趾头	jvt
简直是	jvu
居住证	jvv
急转弯	jvw
集装箱	jvx
巨无霸	jwb
经纬度	jwd
居委会	jwh
鸡尾酒	jwj
就为了	jwl
几万年	jwn
局外人	jwr
家务事	jwu
健忘症	jwv
基围虾	jwx
寄望于	jwy
教学片	jxp
局限性	jxx
假惺惺	jxxk
交易所	jys
局域网	jyw
酒糟鼻	jzb
节奏感	jzg
剧作家	jzj
君子兰	jzl
金字塔	jzt
就在于	jzy
看不懂	kbd
看不惯	kbg
看不见	kbj
看不看	kbk
快不了	kbl
恐怖片	kbp
看不清	kbq
看不透	kbt
看不上	kbu
可比性	kbx
可不要	kby
哭鼻子	kbz
开发商	kfu
开放性	kfx
口服液	kfy
孔夫子	kfz
克格勃	kgb
看过了	kgl
恐高症	kgv
客观性	kgx
客户端	khd
科幻片	khp
葵花籽	khz
开场白	kib
快车道	kid
空城计	kij
看出来	kil
可持续	kix
可靠性	kkx
可怜虫	kli
卡路里	kll
看门狗	kmg
开门红	kmh
喀麦隆	kml
开幕式	kmu
扣帽子	kmz
可能吧	knb
跨年度	knd
困难户	knh
看腻了	knl
可能吗	knm
可能是	knu
可能性	knx
肯尼亚	kny
堪培拉	kpl
看清楚	kqi
看情况	kqk
看起来	kql
矿泉水	kqu
苦肉计	krj
看热闹	krn
可塑性	ksx
卡塔尔	kte
客套话	kth
口头禅	kti
口头上	ktu
口头语	kty
跨时代	kud
口水话	kuh
瞌睡虫	kui
看上去	kuq
扩展名	kvm
勘误表	kwb
开胃菜	kwc
矿务局	kwj
科威特	kwt
矿物质	kwv
开玩笑	kwx
空心菜	kxc
开小差	kxi
科学家	kxj
苦行僧	kxs
亏心事	kxu
可行性	kxx
看一遍	kyb
快一点	kyd
开夜车	kyi
看一看	kyk
可以吗	kym
客运站	kyv
看一下	kyx
看一眼	kyy
看样子	kyz
轮不到	lbd
老本行	lbh
来不及	lbj
老板娘	lbn
两边跑	lbp
了不起	lbq
留不住	lbv
另存为	lcw
来得及	ldj
离得开	ldk
老大难	ldn
流动性	ldx
老掉牙	ldy
浪费了	lfl
两方面	lfm
龙凤胎	lft
两分钟	lfv
两个半	lgb
驴肝肺	lgf
泸沽湖	lgh
理工科	lgk
两个人	lgr
两个钟	lgv
两个月	lgy
两个字	lgz
厉害吧	lhb
厉害了	lhl
老黄牛	lhn
老糊涂	lht
两回事	lhu
兰花指	lhv
灵活性	lhx
里程碑	lib
龙卷风	ljf
龙井茶	lji
立交桥	ljq
垃圾桶	ljt
流口水	lku
理论上	llu
来没来	lml
两码事	lmu
龙门阵	lmv
老奶奶	lnn
老年人	lnr
脸皮厚	lph
零配件	lpj
老婆婆	lpp
老朋友	lpy
利润率	lrl
两三次	lsc
两三个	lsg
两三年	lsn
累死人	lsr
两三天	lst
类似于	lsy
鹿特丹	ltd
老头儿	lte
落汤鸡	ltj
两条路	ltl
老太婆	ltp
愣头青	ltq
立体声	ltu
老同学	ltx
老天爷	lty
两只手	lvu
连轴转	lvv
雷阵雨	lvy
遛弯儿	lwe
老顽童	lwt
连续剧	lxj
拉下去	lxq
旅行团	lxt
两小时	lxu
老想着	lxv
连续性	lxx
两下子	lxz
来一次	lyc
六月份	lyf
另一个	lyg
莱茵河	lyh
另一面	lym
露一手	lyu
另一种	lyv
懒洋洋	lyy
乱糟糟	lzz
明白人	mbr
摸不透	mbt
明摆着	mbv
忙得很	mdh
面对面	mdm
目的性	mdx
墨尔本	meb
明儿个	meg
门儿清	meq
马耳他	met
麻烦了	mfl
每分钟	mfv
马蜂窝	mfw
没发现	mfx
没反应	mfy
没工夫	mgf
冒个泡	mgp
每个人	mgr
眯会儿	mhe
明晃晃	mhh
马后炮	mhp
灭火器	mhq
明后天	mht
模糊音	mhy
没出息	mix
孟加拉	mjl
麦克风	mkf
没可能	mkn
马克思	mks
没料到	mld
茉莉花	mlh
美联储	mli
美利坚	mlj
毛利率	mll
摸了摸	mlm
马拉松	mls
面临着	mlv
马拉维	mlw
没理由	mly
仫佬族	mlz
没明白	mmb
毛毛虫	mmi
慕尼黑	mnh
马尼拉	mnl
木乃伊	mny
孟婆汤	mpt
马其顿	mqd
没去过	mqg
没钱了	mql
明确性	mqx
煤气灶	mqz
美人儿	mre
美人计	mrj
没人理	mrl
毛茸茸	mrr
没人性	mrx
美人鱼	mry
慢三步	msb
忙死了	msl
没所谓	msw
没听懂	mtd
没听过	mtg
满堂红	mth
摩托车	mti
没听见	mtj
摩天轮	mtl
没听清	mtq
木头人	mtr
慢吞吞	mtt
没听说	mtu
满天星	mtx
猫头鹰	mty
陌生人	mur
没准儿	mve
民主化	mvh
没主见	mvj
命中率	mvl
没这么	mvm
免战牌	mvp
没找着	mvv
没指望	mvw
毛主席	mvx
没注意	mvy
没胃口	mwk
慢性病	mxb
没想到	mxd
没想过	mxg
明信片	mxp
没兴趣	mxq
某些人	mxr
每小时	mxu
明细账	mxv
莫须有	mxy
慢性子	mxz
每一步	myb
每一次	myc
慢一点	myd
每一份	myf
每一个	myg
梦一场	myi
没意见	myj
每一刻	myk
没有了	myl
摸一摸	mym
每一年	myn
慢一拍	myp
没意思	mys
每一天	myt
名义上	myu
每一种	myv
每一位	myw
每一项	myx
慢悠悠	myy
牡羊座	myz
毛泽东	mzd
满足感	mzg
满足了	mzl
没怎么	mzm
弄不懂	nbd
拗不过	nbg
难不成	nbi
那不就	nbj
能不能	nbn
南半球	nbq
弄不清	nbq
那不是	nbu
耐不住	nbv
牛鼻子	nbz
弄错了	ncl
脑电波	ndb
脑袋瓜	ndg
拿到了	ndl
哪方面	nfm
尼姑庵	nga
哪根葱	ngc
那个字	ngz
那会儿	nhe
黏糊糊	nhh
拿回来	nhl
奈何桥	nhq
拿出来	nil
农产品	nip
牛角尖	njj
凝聚力	njl
南极洲	njv
脑壳痛	nkt
哪来的	nld
年利率	nll
那么多	nmd
内蒙古	nmg
南美洲	nmv
脑膜炎	nmy
脑门子	nmz
努努力	nnl
拿破仑	npl
牛脾气	npq
哪怕是	npu
牛皮癣	npx
年轻化	nqh
哪去了	nql
尼日尔	nre
牛肉面	nrm
男人婆	nrp
暖融融	nrr
那条路	ntl
纳税人	nur
鸟兽散	nus
逆时针	nuv
哪知道	nvd
闹着玩	nvw
乃至于	nvy
脑细胞	nxb
那些个	nxg
纽西兰	nxl
那些年	nxn
脑血栓	nxu
那小子	nxz
哪一点	nyd
年夜饭	nyf
哪一个	nyg
哪一回	nyh
哪一款	nyk
年月日	nyr
哪一种	nyv
哪一位	nyw
男子汉	nzh
娘子军	nzj
牛仔裤	nzk
拿走了	nzl
农作物	nzw
欧共体	ogt
欧佩克	opk
偶然性	orx
皮包骨	pbg
跑不了	pbl
怕不怕	pbp
跑单帮	pdb
皮肤病	pfb
平方米	pfm
泡个澡	pgz
排行榜	phb
胖乎乎	phh
平衡木	phm
破坏性	phx
平常心	pix
破纪录	pjl
漂亮话	plh
拼了命	plm
拍了拍	plp
跑龙套	plt
泼冷水	plu
贫民窟	pmk
平面图	pmt
啪啪啪	ppp
飘飘然	ppr
爬起来	pql
喷气式	pqu
迫切性	pqx
平日里	prl
譬如说	pru
蒲松龄	psl
葡萄干	ptg
普通话	pth
葡萄酒	ptj
泡汤了	ptl
普通人	ptr
葡萄糖	ptt
普陀山	ptu
排他性	ptx
葡萄牙	pty
普适性	pux
破折号	pvh
怕只怕	pvp
偏重于	pvy
抛物线	pwx
培训班	pxb
培训费	pxf
拍胸脯	pxp
平行线	pxx
偏向于	pxy
鄱阳湖	pyh
拼一拼	pyp
朋友圈	pyq
亲爱的	qad
气不过	qbg
去不了	qbl
丘比特	qbt
却不知	qbv
清道夫	qdf
千岛湖	qdh
气垫船	qdi
取得了	qdl
瞧得起	qdq
期待着	qdv
确定性	qdx
全封闭	qfb
千分号	qfh
潜伏期	qfq
千分之	qfv
全方位	qfw
启发性	qfx
穷光蛋	qgd
气鼓鼓	qgg
缺根筋	qgj
奇怪了	qgl
曲棍球	qgq
全国性	qgx
潜规则	qgz
青花瓷	qhc
秦皇岛	qhd
气呼呼	qhh
前后脚	qhj
亲和力	qhl
秋海棠	qht
青海省	qhu
氰化物	qhw
前几次	qjc
旗舰店	qjd
全家福	qjf
前几个	qjg
清洁剂	qjj
请见谅	qjl
前几名	qjm
前几年	qjn
全键盘	qjp
前几日	qjr
前几天	qjt
请教下	qjx
取决于	qjy
前脚走	qjz
巧克力	qkl
情况下	qkx
前两个	qlg
千里眼	qly
敲门砖	qmv
俏皮话	qph
轻飘飘	qpp
起跑线	qpx
蛐蛐儿	qqe
情人节	qrj
气死了	qsl
起诉书	qsu
钱塘江	qtj
青铜器	qtq
起征点	qvd
区政府	qvf
敲竹杠	qvg
起重机	qvj
青壮年	qvn
清真寺	qvs
穷折腾	qvt
强制性	qvx
求知欲	qvy
牵着走	qvz
区位码	qwm
期望值	qwv
情绪化	qxh
取消了	qxl
前些年	qxn
前些天	qxt
晴雨表	qyb
去一次	qyc
前一段	qyd
七月份	qyf
强有力	qyl
瞧一瞧	qyq
清一色	qys
潜意识	qyu
前一晚	qyw
签字笔	qzb
全自动	qzd
起作用	qzy
容不得	rbd
认不出	rbi
饶不了	rbl
惹不起	rbq
热不热	rbr
让不让	rbr
若不是	rbu
忍不住	rbv
容不下	rbx
惹的祸	rdh
热带鱼	rdy
软刀子	rdz
日耳曼	rem
绕个圈	rgq
日光浴	rgy
热乎劲	rhj
任何事	rhu
日程表	rib
入场费	rif
入场券	riq
肉夹馍	rjm
软键盘	rjp
绕口令	rkl
热空气	rkq
人来疯	rlf
人流量	rll
揉了揉	rlr
人类学	rlx
人民币	rmb
软绵绵	rmm
忍耐力	rnl
日内瓦	rnw
软趴趴	rpp
日偏食	rpu
热气球	rqq
日全食	rqu
人情味	rqw
绕圈子	rqz
热热身	rru
柔韧性	rrx
热死了	rsl
染色体	rst
人头马	rtm
热腾腾	rtt
人头税	rtu
绕指柔	rvr
任务栏	rwl
绕弯子	rwz
人行道	rxd
人性化	rxh
热心肠	rxi
热心人	rxr
荣誉感	ryg
日用品	ryp
绕一圈	ryq
忍一忍	ryr
日月潭	ryt
容易忘	ryw
孺子牛	rzn
三班倒	sbd
三不管	sbg
三把火	sbh
所不及	sbj
随便了	sbl
随便你	sbn
三部曲	sbq
算不算	sbs
算不上	sbu
四不像	sbx
腮帮子	sbz
三等奖	sdj
死定了	sdl
三代人	sdr
死对头	sdt
所得税	sdu
私底下	sdx
私房菜	sfc
司法局	sfj
私房钱	sfq
三伏天	sft
三分钟	sfv
三个半	sgb
苏格兰	sgl
算个屁	sgp
松花江	shj
撒哈拉	shl
四环素	shs
死胡同	sht
私家菜	sjc
私家车	sji
丧家犬	sjq
松口气	skq
萨克斯	sks
思考题	skt
算了吧	slb
塑料袋	sld
三连冠	slg
三轮车	sli
斯洛克	slk
酸溜溜	sll
所罗门	slm
苏里南	sln
算了算	sls
三两下	slx
撒拉族	slz
索马里	sml
色眯眯	smm
三明治	smv
扫描仪	smy
随你吧	snb
斯诺克	snk
撕破脸	spl
三七开	sqk
算起来	sql
死翘翘	sqq
三缺一	sqy
三四岁	sss
三四天	sst
三条路	stl
随他去	stq
塞舌尔	sue
私生活	suh
送上门	sum
随身听	sut
孙悟空	swk
死亡率	swl
四五岁	sws
四五十	swu
四五十	swus
三文鱼	swy
私下里	sxl
三小时	sxu
色香味	sxw
思想性	sxx
死心眼	sxy
三月份	syf
私有化	syh
所以呢	syn
扫一扫	sys
所以说	syu
扫一眼	syy
嗓子眼	szy
太矮了	tal
挺不错	tbc
听不懂	tbd
通不过	tbg
听不出	tbi
听不见	tbj
太棒了	tbl
听不清	tbq
听不听	tbt
谈不上	tbu
听错了	tcl
土耳其	teq
挺方便	tfb
通风管	tfg
太费劲	tfj
太烦了	tfl
铁饭碗	tfw
突发性	tfx
太过分	tgf
头盖骨	tgg
提个醒	tgx
铁观音	tgy
天花板	thb
太好了	thl
听见了	tjl
太极拳	tjq
田径赛	tjs
谈恋爱	tla
吐鲁番	tlf
挺厉害	tlh
拖拉机	tlj
太累了	tll
同龄人	tlr
托拉斯	tls
铁了心	tlx
捅娄子	tlz
太慢了	tml
突尼斯	tns
通配符	tpf
突破口	tpk
突破性	tpx
太平洋	tpy
跆拳道	tqd
听清楚	tqi
探亲假	tqj
太强了	tql
同情心	tqx
听其言	tqy
太弱了	trl
甜如蜜	trm
天然气	trq
讨人嫌	trx
挺容易	try
妥妥的	ttd
退堂鼓	ttg
土特产	tti
凸透镜	ttj
淘汰了	ttl
通通气	ttq
淘汰赛	tts
提提神	ttu
团团转	ttv
踢踏舞	ttw
图书馆	tug
太少了	tul
通知书	tvu
台湾岛	twd
题外话	twh
体温计	twj
太晚了	twl
调味品	twp
同位素	tws
天文台	twt
台湾省	twu
天文学	twx
剃须刀	txd
体现出	txi
退休金	txj
通讯录	txl
同学们	txm
通讯社	txu
通行证	txv
铜臭味	txw
挑衅性	txx
同一个	tyg
头一回	tyh
体育场	tyi
太阳能	tyn
拖油瓶	typ
投影仪	tyy
同音字	tyz
太早了	tzl
说不定	ubd
少部分	ubf
说不好	ubh
说不出	ubi
社保卡	ubk
受不了	ubl
上半年	ubn
说不清	ubq
十八岁	ubs
双胞胎	ubt
睡不着	ubv
说不完	ubw
睡不醒	ubx
上半夜	uby
收藏品	ucp
水电费	udf
十多个	udg
说得好	udh
圣诞节	udj
